TITLE,DESCRIPTION,URL_TIKTOK,PLATFORM,CONTENT_ID,CREATOR_USERNAME,SOURCE_PLATFORM_URL,RECIPE_LANGUAGE_HINT,CUISINE_HINT,MAIN_INGREDIENT_HINT,DESCRIPTION_IS_PARTIAL,DATA_ORIGIN,VERIFICATION_SOURCE_URL
Beef and Broccoli,"Beef and Broccoli Recipe: 2lbs Flank steak 1 tsp Baking soda 1 tbsp Corn starch 2 tbsp Oyster sauce 2 tbsp Soy sauce 1 tbsp Dark soy sauce Sauce: 5 cloves garlic, minced 2 tbsp ginger paste 1/4 cup Dark soy sauce 1/3 cup Soy sauce 2 tbsp Oyster sauce 2 tbsp Rice vinegar 2 tsp Sugar 1 tsp MSG 1/2 cup Water 2 tbsp corn starch 1 tbsp sesame oil 8-12oz broccoli, blanched",https://www.tiktok.com/@thegoldenbalance/video/7632517165056380174,tiktok,7632517165056380174,thegoldenbalance,https://www.tiktok.com/@thegoldenbalance,en,,,false,existing_verified_tiktok_caption_file,https://www.tiktok.com/@thegoldenbalance/video/7632517165056380174
Crispy Hot Honey Onion Rings,"Crispy Hot Honey Onion Rings Recipe: 2-3 large white or yellow onions 1 egg 3 cups milk 1/4 cup hot sauce 2 tsp paprika, chili powder 1 tsp black pepper Salt to taste Hot honey: 8oz butter 1-2 tsp cayenne 12 oz honey Squeeze of lemon Salt and msg to taste Dry mix: 3 cups flour 2 tsp paprika, chili powder 1 tsp black pepper Salt to taste 3-4 cups panko!",https://www.tiktok.com/@thegoldenbalance/video/7631928447085923598,tiktok,7631928447085923598,thegoldenbalance,https://www.tiktok.com/@thegoldenbalance,en,,,false,existing_verified_tiktok_caption_file,https://www.tiktok.com/@thegoldenbalance/video/7631928447085923598
Mexican Street Style Hot Dogs,Mexican Street Style Hot Dogs IB: @El Original Martínez 6 hot dogs 6 hot dog buns 6 slices beef bacon 3-6 jalapeños 1 onion and green pepper (Salt pepper and oregano to taste) Condiments recommended: Mayo Ketchup Mustard Mashed chips,https://www.tiktok.com/@thegoldenbalance/video/7631272669572386062,tiktok,7631272669572386062,thegoldenbalance,https://www.tiktok.com/@thegoldenbalance,en,,,false,existing_verified_tiktok_caption_file,https://www.tiktok.com/@thegoldenbalance/video/7631272669572386062
Peruvian Style Chicken Thighs - With Aji Verde,"Peruvian Style Chicken Thighs - With Aji Verde Recipe: 4lbs bone in chicken thighs 1/2 cup soy sauce 1 lime, juiced 1/4 cup Aji Amarillo paste (spicy) 2 tbsp olive oil 6 gloves garlic, minced 1 tsp cumin 2 tsp oregano 2 tsp black pepper 2 tsp chili powder 1 tbsp paprika Salt to taste (go easy because soy sauce) Aji Verde sauce: 1 bundle cilantro 1/2 jalapeno 2 cloves garlic 1 tbsp Aji Amarillo paste 1.5 cup sour cream 1/2 cup mayo 1 lemon, juiced Salt + pepper to taste",https://www.tiktok.com/@thegoldenbalance/video/7626758425430576398,tiktok,7626758425430576398,thegoldenbalance,https://www.tiktok.com/@thegoldenbalance,en,,,false,existing_verified_tiktok_caption_file,https://www.tiktok.com/@thegoldenbalance/video/7626758425430576398
"Believe me, this is the easiest pizza recipe I’ve ever made and it’s absolutely delicious!!!","Believe me, this is the easiest pizza recipe I’ve ever made and it’s absolutely delicious!!! For the sauce, I used my marinara sauce, which is available at Walmart across the U.S.! (For the written recipe, as always, you can find it at the Royal Court of Pasta — link in my bio.)",https://www.tiktok.com/@the_pastaqueen/video/7634984626070523150,tiktok,7634984626070523150,the_pastaqueen,https://www.tiktok.com/@the_pastaqueen,en,,,false,existing_verified_tiktok_caption_file,https://www.tiktok.com/@the_pastaqueen/video/7634984626070523150
Albondigas enchipotladas,Albondigas enchipotladas quedaron mamalonas #mpsdv #comidamexicana #recetasfaciles #albondigas,https://www.tiktok.com/@borrecito/video/7637320595960614152,tiktok,7637320595960614152,borrecito,https://www.tiktok.com/@borrecito,es,,,false,existing_verified_tiktok_caption_file,https://www.tiktok.com/@borrecito/video/7637320595960614152
El pápalo esta apestoso pero sabroso,El pápalo esta apestoso pero sabroso Comiendo cemitas en #Puebla #mpsdv #cemitas #comidamexicana,https://www.tiktok.com/@borrecito/video/7634713209487789319,tiktok,7634713209487789319,borrecito,https://www.tiktok.com/@borrecito,es,,,false,existing_verified_tiktok_caption_file,https://www.tiktok.com/@borrecito/video/7634713209487789319
Chingon el Spade Churrasquero,"Chingon el Spade Churrasquero armé muslitos de pollo, picaña, matambre de puerco, chorizos y todo el pedo Al chile si recomiendo tener uno de esos en la colección ☝ #mpsdv #churrasco #grill #asador",https://www.tiktok.com/@borrecito/video/7633956951906454802,tiktok,7633956951906454802,borrecito,https://www.tiktok.com/@borrecito,en,,,false,existing_verified_tiktok_caption_file,https://www.tiktok.com/@borrecito/video/7633956951906454802
Salsiccia e patate alla birra,Salsiccia e patate alla birra #lucapappagallo #casapappagallo #patate #salsiccia #Recipe,https://www.tiktok.com/@luca_pappagallo/video/7163373218131135749,tiktok,7163373218131135749,luca_pappagallo,https://www.tiktok.com/@luca_pappagallo,en,,,false,existing_verified_tiktok_caption_file,https://www.tiktok.com/@luca_pappagallo/video/7163373218131135749
Spaghetti alla vesuviana,Spaghetti alla vesuviana #casapappagallo #learnwithtiktok #asmr #cucinaitaliana #foodtiktok #pasta,https://www.tiktok.com/@luca_pappagallo/video/6991052868296002822,tiktok,6991052868296002822,luca_pappagallo,https://www.tiktok.com/@luca_pappagallo,en,,,false,existing_verified_tiktok_caption_file,https://www.tiktok.com/@luca_pappagallo/video/6991052868296002822
